Bas1,Bas2,Bas3,TagSet,,Tags,Equipment
CMU/SCSC Gates/Third Floor/AHU-2 I/O/auto cc sp,auto cc sp,ahu cool sp,AHU Auto Cooling Setpoint,,Cooling;Setpoint;Temperature,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/bypass CFM,bypass CFM,ahu bypass air flow sensor,Bypass Air Flow Sensor,,Bypass;Airflow;Sensor,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/CHW Valve VDC,CHW Valve VDC,ahu chilled water valve vfd,Run Direction Status,,Water;Chilled;Valve;Sensor,VFD;Chilled Water Valve 
CMU/SCSC Gates/Third Floor/AHU-2 I/O/chw vlv,chw vlv,ahu chilled water valve cmd,Chilled Water Valve,,Water;Chilled;Valve;Command,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/Cool Request,Cool Request,vav cool cmd,Cooling Command,,VAV;Cooling;Request,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/Cooling demand %,Cooling demand %,ahu cooling stage cmd,Cooling Request Percent Setpoint,,Cooling,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/current cc sp,current cc sp,ahu cur cool sp,AHU Current Cooling Setpoint,,Cooling;Setpoint;Temperature,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/current exhaust CFM SP,current exhaust CFM SP,ahu cur exhaust fan air flow sp,Exhaust Fan Air Flow Setpoint,,Exhaust;Fan;Airflow;Setpoint,Fan
CMU/SCSC Gates/Third Floor/AHU-2 I/O/current max RA CO2 setpt,current max RA CO2 setpt,ahu cur max return air co2 sp,Max Return Air CO2 Setpoint,,CO2;Return;Setpoint;air,AHU
CMU/SCSC Gates/Third Floor/AHU-2 I/O/EA damper,EA damper,ahu vfd air exhaust damper,Exhaust Air Damper,,Damper;Air;Exhaust,Damper
CMU/SCSC Gates/Third Floor/AHU-2 I/O/EF piezo,EF piezo,ahu vfd fan exhaust,Exhaust Fan Piezoelectric Sensor,,Exaust;Fan;Sensor;Piezoelectric,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/enth wheel RPM,enth wheel RPM,ahu heatWheel unit,Heat Wheel Speed,,Enthalpy;Heating;RPM;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/enth wheel Volts,enth wheel Volts,ahu heatWheel unit,Heat Wheel Voltage,,Enthalpy;Heating;Volts;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/enth whl vfd,enth whl vfd,ahu heatWheel vfd,Heat Wheel VFD,,Enthalpy;Heating;VFD;Sensor,
