bas_raw,point_type,haystack
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/% Capacity","% Capacity","equip chiller coolingCapacity"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Fan Run Hours","Fan Run Hours","fan vfd equip run cmd"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidifier Run Hours","Humidifier Run Hours","humidifier run cmd"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidity","Humidity","humidity sensor"
"CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Temperature","Temperature","temp sensor"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Coil CHW Vlv","Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Start","Fan Start","fan cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Fan Status","Fan Status","fan curstatus"
"CMU/SCSC Gates/Eighth Floor/FCU-15/FANCOIL ALARM","FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Eighth Floor/FCU-15/FANCOIL HAND","FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/FCU-15/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/FCU-15/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/FCU-15/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 Central/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Run","Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8100 West/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
