Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
513_0_3004504,ap m hx 1 hx1 mtws,nae 13 n2 trunk 1 ahu 1 hx1 mtws,hx1 medium temp water supply,64.0,analog input,medium temperature water supply temperature,medium temperature hot water supply temperature sensor,hx 1,ahu,,
513_0_3004514,ap m ahu 3 ma t,nae 13 n2 trunk 1 ahu 1 ma t,mixed air temperature,64.0,analog input,mixed air temperature,mixed air temperature sensor,ahu 3,ahu,,
513_0_3004530,ap m ahu 3 sa sp,nae 13 n2 trunk 1 ahu 1 sa sp,supply air static pressure,58.0,analog input,supply air static pressure,supply air static pressure sensor,ahu 3,ahu,,
513_0_3004533,ap m ahu 3 sa t,nae 13 n2 trunk 1 ahu 1 sa t,supply air temperature,64.0,analog input,supply air temperature,supply air temperature sensor,ahu 3,ahu,,
513_0_3004571,ap m ahu 2 oa t,nae 13 n2 trunk 1 ahu 2 oa t,outdoor air temperature,64.0,analog input,outside air temperature,outside air temperature sensor,ahu 2,ahu,,
513_0_3004573,ap m ahu 2 ra t,nae 13 n2 trunk 1 ahu 2 ra t,return air temperature,64.0,analog input,return air temperature,return air temperature sensor,ahu 2,ahu,,
513_0_3004582,ap m ahu 2 sa t,nae 13 n2 trunk 1 ahu 2 sa t,supply air temperature,64.0,analog input,supply air temperature,supply air temperature sensor,ahu 2,ahu,,
513_0_3004585,ap m ahu 2 sa1 sp,nae 13 n2 trunk 1 ahu 2 sa1 sp,supply air static pressure 1,58.0,analog input,supply air static pressure,supply air static pressure sensor,ahu 2,ahu,,
513_0_3004588,ap m ahu 2 sa2 sp,nae 13 n2 trunk 1 ahu 2 sa2 sp,supply air static pressure 2,58.0,analog input,supply air static pressure,supply air static pressure sensor,ahu 2,ahu,,
513_0_3004654,ap m ahu 1 ra t,nae 13 n2 trunk 1 ahu 4 ra t,return air temperature computer room,64.0,analog input,return air temperature,return air temperature sensor,ahu 1,ahu,,
513_0_3004663,ap m ahu 1 sa t,nae 13 n2 trunk 1 ahu 4 sa t,supply air temperature,64.0,analog input,supply air temperature,supply air temperature sensor,ahu 1,ahu,,
513_0_3004680,ap m ahu 1 uflr t,nae 13 n2 trunk 1 ahu 4 uflr t,underfloor temperature,64.0,analog input,underfloor temperature,underfloor temperature sensor,ahu 1,ahu,,
513_0_3004683,ap m bldg chwr t,nae 13 n2 trunk 1 ahu 5 chwr t,chilled water return temperature,64.0,analog input,chilled water return temperature,chilled water return temperature sensor,bldg,ahu,,
513_0_3004684,ap m bldg chws flow,nae 13 n2 trunk 1 ahu 5 chws flow,chilled water supply flow,89.0,analog input,chilled water supply flow,chilled water supply flow sensor,bldg,ahu,,
513_0_3004686,ap m bldg chws t,nae 13 n2 trunk 1 ahu 5 chws t,chilled water supply temperature,64.0,analog input,chilled water supply temperature,chilled water supply temperature sensor,bldg,ahu,,
513_0_3004691,ap m hx 1 hthwr t,nae 13 n2 trunk 1 ahu 5 hthwr t,high temp water return temperature,64.0,analog input,high temperature water return temperature,high temperature hot water return temperature sensor,hx 1,ahu,,
513_0_3004692,ap m hx 1 hthws t,nae 13 n2 trunk 1 ahu 5 hthws t,high temp water supply temperature,64.0,analog input,high temperature water supply temperature,high temperature hot water supply temperature sensor,hx 1,ahu,,
513_0_3004697,ap m rm b301 aclg stpt,nae 13 n2 trunk 1 vav 1 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm b301,vav,,
513_0_3004699,ap m rm b301 ahtg stpt,nae 13 n2 trunk 1 vav 1 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm b301,vav,,
513_0_3004713,ap m rm b301 sup flow,nae 13 n2 trunk 1 vav 1 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm b301,vav,,
513_0_3004717,ap m rm b301 wc adj,nae 13 n2 trunk 1 vav 1 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm b301,vav,,
513_0_3004718,ap m rm b301 zn t,nae 13 n2 trunk 1 vav 1 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm b301,vav,,
