Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
510_0_3014231,1biolib 1stfl rm 38h aclg sp,nae 10 n2 2 vma135 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 38h,
510_0_3013298,biolib 1stfl rm 100 aclg sp,nae 10 n2 1 vma127 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 100,
510_0_3013150,biolib 1stfl rm 100n aclg sp,nae 10 n2 1 vma119 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 100n,
510_0_3013282,biolib 1stfl rm 100s aclg sp,nae 10 n2 1 vma126 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 100s,
510_0_3013186,biolib 1stfl rm 101n aclg sp,nae 10 n2 1 vma121 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 101n,
510_0_3013206,biolib 1stfl rm 101s aclg sp,nae 10 n2 1 vma122 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 101s,
510_0_3013262,biolib 1stfl rm 102 aclg sp,nae 10 n2 1 vma125 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 102,
510_0_3013166,biolib 1stfl rm 103 aclg sp,nae 10 n2 1 vma120 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 103,
510_0_3013086,biolib 1stfl rm 104a aclg sp,nae 10 n2 1 vma115 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 104a,
510_0_3012970,biolib 1stfl rm 104b aclg sp,nae 10 n2 1 vma108 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 104b,
510_0_3013022,biolib 1stfl rm 104c aclg sp,nae 10 n2 1 vma111 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 104c,
510_0_3013134,biolib 1stfl rm 105 aclg sp,nae 10 n2 1 vma118 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 105,
510_0_3013118,biolib 1stfl rm 106 aclg sp,nae 10 n2 1 vma117 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 106,
510_0_3013102,biolib 1stfl rm 107 aclg sp,nae 10 n2 1 vma116 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 107,
510_0_3013070,biolib 1stfl rm 108 aclg sp,nae 10 n2 1 vma114 aclg sp,actual cooling setpt,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,,vav,rm 108,
