Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
505_0_3001079,505,0,3001079,ebu3b rm 1200b zn t,nae 05 n2 2 vma 101 zn t,zone temperature conference rm 1202,64.0,zone temperature,zone temperature sensor,,rm 1200b,vav,1200b,,ebu3b,,analog input
506_0_3001694,506,0,3001694,ebu3b rm 3140 zn t,nae 06 n2 2 vma 101 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 3140,vav,3140,,ebu3b,,analog input
505_0_3000867,505,0,3000867,ebu3b rm b215 zn t,nae 05 n2 1 vma 101 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm b215,vav,b215,,ebu3b,,analog input
506_0_3015095,506,0,3015095,ebu3b unknown zn t,nae 06 n2 1 vma 101 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,,vav,,,ebu3b,,analog input
505_1_3001087,505,1,3001087,ebu3b rm 1200b commonsp,nae 05 n2 2 vma 101 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001702,506,1,3001702,ebu3b rm 3140 commonsp,nae 06 n2 2 vma 101 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000875,505,1,3000875,ebu3b rm b215 commonsp,nae 05 n2 1 vma 101 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm b215,vav,b215,,ebu3b,,analog output
505_1_3026050,505,1,3026050,ebu3b rm 1200b w c adj,nae 05 n2 2 vma 101 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3015724,506,1,3015724,ebu3b rm 3140 w c adj,nae 06 n2 2 vma 101 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3025990,505,1,3025990,ebu3b rm b215 w c adj,nae 05 n2 1 vma 101 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm b215,vav,b215,,ebu3b,,analog output
505_1_3001089,505,1,3001089,ebu3b rm 1200b supflo sp,nae 05 n2 2 vma 101 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1200b,vav,1200b,,ebu3b,,analog output
506_1_3001704,506,1,3001704,ebu3b rm 3140 supflo sp,nae 06 n2 2 vma 101 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 3140,vav,3140,,ebu3b,,analog output
505_1_3000877,505,1,3000877,ebu3b rm b215 supflo sp,nae 05 n2 1 vma 101 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm b215,vav,b215,,ebu3b,,analog output
505_0_3001085,505,0,3001085,ebu3b rm 1200b sup flow,nae 05 n2 2 vma 101 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1200b,vav,1200b,,ebu3b,,analog input
