Address,air,alarm,chilled,chiller,cmd,co2,comp,compressor,condenser,current,damper,delay,delta,demand,discharge,enable,energy,entering,enthalpy,fan,fault,fire,flow,high,hot,humidity,leaving,lockout,low,manual,max,min,outside,power,pressure,refrig,reset,return,run,sensor,sp,speed,suction,sys,sysRef,temp,trip,unit,valve,vfd,water,zone
_Ch_01_Comp_01_Alrm_Gnrtr_Mde,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_HiCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_OvrCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Press_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Press_Suct,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Rtr_Lckd,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_SftStrt_Err,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Super_Ht,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Temp_Cav,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Temp_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Temp_Inv,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Temp_SCR,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_01_Alrm_Tot_Cmpr_Rat,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Gnrtr_Mde,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_HiCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_OvrCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Press_Dis,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Press_Suct,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Rtr_Lckd,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_SftStrt_Err,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Super_Ht,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Temp_Cav,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Temp_Dis,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Temp_Inv,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Temp_SCR,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_01_Comp_02_Alrm_Tot_Cmpr_Rat,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Gnrtr_Mde,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_HiCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_OvrCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Press_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Press_Suct,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Rtr_Lckd,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_SftStrt_Err,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Super_Ht,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Temp_Cav,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Temp_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Temp_Inv,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Temp_SCR,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_01_Alrm_Tot_Cmpr_Rat,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_02_Alrm_Gnrtr_Mde,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_02_Alrm_HiCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_02_Alrm_OvrCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
