Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,BRICK_POINT,BRICK_EQUIP_LIST,BRICK_LOCATION_LIST,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,BACnet Type Str,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments
505_0_3001079,505,0,3001079,,,,EBU3B.RM-1200B..ZN-T,NAE 05 N2 2 VMA 101 ZN T,Zone Temperature \ Conference  Rm 1202,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1200B,VAV,1200B,,EBU3B,
506_0_3001694,506,0,3001694,,,,EBU3B.RM-3140..ZN-T,NAE 06 N2 2 VMA 101 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3140,VAV,3140,,EBU3B,
505_0_3000867,505,0,3000867,,,,EBU3B.RM-B215..ZN-T,NAE 05 N2 1 VMA 101 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-B215,VAV,B215,,EBU3B,
506_0_3015095,506,0,3015095,,,,EBU3B.Unknown..ZN-T,NAE 06 N2 1 VMA 101 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,,VAV,,,EBU3B,
505_0_3001085,505,0,3001085,,,,EBU3B.RM-1200B..SUP-FLOW,NAE 05 N2 2 VMA 101 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1200B,VAV,1200B,,EBU3B,
506_0_3001700,506,0,3001700,,,,EBU3B.RM-3140..SUP-FLOW,NAE 06 N2 2 VMA 101 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3140,VAV,3140,,EBU3B,
505_0_3000873,505,0,3000873,,,,EBU3B.RM-B215..SUP-FLOW,NAE 05 N2 1 VMA 101 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-B215,VAV,B215,,EBU3B,
505_0_3001083,505,0,3001083,,,,EBU3B.RM-1200B..ACTHTGSP,NAE 05 N2 2 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1200B,VAV,1200B,,EBU3B,
506_0_3001698,506,0,3001698,,,,EBU3B.RM-3140..ACTHTGSP,NAE 06 N2 2 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3140,VAV,3140,,EBU3B,
505_0_3000871,505,0,3000871,,,,EBU3B.RM-B215..ACTHTGSP,NAE 05 N2 1 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-B215,VAV,B215,,EBU3B,
505_0_3001082,505,0,3001082,,,,EBU3B.RM-1200B..ACTCLGSP,NAE 05 N2 2 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1200B,VAV,1200B,,EBU3B,
506_0_3001697,506,0,3001697,,,,EBU3B.RM-3140..ACTCLGSP,NAE 06 N2 2 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3140,VAV,3140,,EBU3B,
505_0_3000870,505,0,3000870,,,,EBU3B.RM-B215..ACTCLGSP,NAE 05 N2 1 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-B215,VAV,B215,,EBU3B,
505_0_3001084,505,0,3001084,,,,EBU3B.RM-1200B..DMPR-POS,NAE 05 N2 2 VMA 101 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1200B,VAV,1200B,,EBU3B,
506_0_3001699,506,0,3001699,,,,EBU3B.RM-3140..DMPR-POS,NAE 06 N2 2 VMA 101 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3140,VAV,3140,,EBU3B,
505_0_3000872,505,0,3000872,,,,EBU3B.RM-B215..DMPR-POS,NAE 05 N2 1 VMA 101 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-B215,VAV,B215,,EBU3B,
505_0_3001100,505,0,3001100,,,,EBU3B.RM-1130..ZN-T,NAE 05 N2 2 VMA 102 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1130,VAV,1130,,EBU3B,
506_0_3000023,506,0,3000023,,,,EBU3B.RM-2140..ZN-T,NAE 06 N2 1 VMA102 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2140,VAV,2140,,EBU3B,
506_0_3001715,506,0,3001715,,,,EBU3B.RM-3119..ZN-T,NAE 06 N2 2 VMA102 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3119,VAV,3119,,EBU3B,
505_0_3000887,505,0,3000887,,,,EBU3B.RM-B109..ZN-T,NAE 05 N2 1 VMA 102 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-B109,VAV,B109,,EBU3B,
505_0_3001106,505,0,3001106,,,,EBU3B.RM-1130..SUP-FLOW,NAE 05 N2 2 VMA 102 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1130,VAV,1130,,EBU3B,
506_0_3000029,506,0,3000029,,,,EBU3B.RM-2140..SUP-FLOW,NAE 06 N2 1 VMA102 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2140,VAV,2140,,EBU3B,
506_0_3001721,506,0,3001721,supply_air_flow_sensor,,room,EBU3B.RM-3119..SUP-FLOW,NAE 06 N2 2 VMA102 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3119,VAV,3119,,EBU3B,
505_0_3000893,505,0,3000893,,,,EBU3B.RM-B109..SUP-FLOW,NAE 05 N2 1 VMA 102 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-B109,VAV,B109,,EBU3B,
505_0_3001104,505,0,3001104,,,,EBU3B.RM-1130..ACTHTGSP,NAE 05 N2 2 VMA 102 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1130,VAV,1130,,EBU3B,
506_0_3000027,506,0,3000027,,,,EBU3B.RM-2140..ACTHTGSP,NAE 06 N2 1 VMA102 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2140,VAV,2140,,EBU3B,
506_0_3001719,506,0,3001719,,,,EBU3B.RM-3119..ACTHTGSP,NAE 06 N2 2 VMA102 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3119,VAV,3119,,EBU3B,
505_0_3000891,505,0,3000891,,,,EBU3B.RM-B109..ACTHTGSP,NAE 05 N2 1 VMA 102 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-B109,VAV,B109,,EBU3B,
505_0_3001103,505,0,3001103,,,,EBU3B.RM-1130..ACTCLGSP,NAE 05 N2 2 VMA 102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1130,VAV,1130,,EBU3B,
506_0_3000026,506,0,3000026,,,,EBU3B.RM-2140..ACTCLGSP,NAE 06 N2 1 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2140,VAV,2140,,EBU3B,
506_0_3001718,506,0,3001718,,,,EBU3B.RM-3119..ACTCLGSP,NAE 06 N2 2 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3119,VAV,3119,,EBU3B,
505_0_3000890,505,0,3000890,,,,EBU3B.RM-B109..ACTCLGSP,NAE 05 N2 1 VMA 102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-B109,VAV,B109,,EBU3B,
505_0_3001105,505,0,3001105,,,,EBU3B.RM-1130..DMPR-POS,NAE 05 N2 2 VMA 102 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1130,VAV,1130,,EBU3B,
506_0_3000028,506,0,3000028,,,,EBU3B.RM-2140..DMPR-POS,NAE 06 N2 1 VMA102 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2140,VAV,2140,,EBU3B,
506_0_3001720,506,0,3001720,,,,EBU3B.RM-3119..DMPR-POS,NAE 06 N2 2 VMA102 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-3119,VAV,3119,,EBU3B,
505_0_3000892,505,0,3000892,,,,EBU3B.RM-B109..DMPR-POS,NAE 05 N2 1 VMA 102 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-B109,VAV,B109,,EBU3B,
505_0_3001624,505,0,3001624,,,,EBU3B.RM-1100A..ZN-T,NAE 05 N2 2 VMA 103 ZN T,Zone Temperature \ 1st Flr Lobby,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-1100A,VAV,1100A,,EBU3B,
506_0_3001213,506,0,3001213,,,,EBU3B.RM-2119..ZN-T,NAE 06 N2 1 VMA103 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-2119,VAV,2119,,EBU3B,
506_0_3002894,506,0,3002894,,,,EBU3B.RM-3154..ZN-T,NAE 06 N2 2 VMA103 ZN T,Zone Temperature \ Lounge-Game Room,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,Rm-3154,VAV,3154,,EBU3B,
505_0_3000907,505,0,3000907,,,,EBU3B.RM-B225..ZN-T,NAE 05 N2 1 VMA 103 ZN T,Zone Temperature,64,Zone Temperature,Zone Temperature Sensor,Analog Input,,RM-B225,VAV,B225,,EBU3B,
505_0_3001630,505,0,3001630,,,,EBU3B.RM-1100A..SUP-FLOW,NAE 05 N2 2 VMA 103 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-1100A,VAV,1100A,,EBU3B,
506_0_3001219,506,0,3001219,,,,EBU3B.RM-2119..SUP-FLOW,NAE 06 N2 1 VMA103 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-2119,VAV,2119,,EBU3B,
506_0_3002900,506,0,3002900,,,,EBU3B.RM-3154..SUP-FLOW,NAE 06 N2 2 VMA103 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,Rm-3154,VAV,3154,,EBU3B,
505_0_3000913,505,0,3000913,,,,EBU3B.RM-B225..SUP-FLOW,NAE 05 N2 1 VMA 103 SUP FLOW,Actual Supply Flow,84,Supply Airflow,Supply Air Flow,Analog Input,,RM-B225,VAV,B225,,EBU3B,
505_0_3001628,505,0,3001628,,,,EBU3B.RM-1100A..ACTHTGSP,NAE 05 N2 2 VMA 103 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-1100A,VAV,1100A,,EBU3B,
506_0_3001217,506,0,3001217,,,,EBU3B.RM-2119..ACTHTGSP,NAE 06 N2 1 VMA103 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-2119,VAV,2119,,EBU3B,
506_0_3002898,506,0,3002898,,,,EBU3B.RM-3154..ACTHTGSP,NAE 06 N2 2 VMA103 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,Rm-3154,VAV,3154,,EBU3B,
505_0_3000911,505,0,3000911,,,,EBU3B.RM-B225..ACTHTGSP,NAE 05 N2 1 VMA 103 ACTHTGSP,Actual Heating Setpoint,64,Actual Heating Setpoint,occupied heating setpoint,Analog Input,,RM-B225,VAV,B225,,EBU3B,
505_0_3001627,505,0,3001627,,,,EBU3B.RM-1100A..ACTCLGSP,NAE 05 N2 2 VMA 103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-1100A,VAV,1100A,,EBU3B,
506_0_3001216,506,0,3001216,,,,EBU3B.RM-2119..ACTCLGSP,NAE 06 N2 1 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-2119,VAV,2119,,EBU3B,
506_0_3002897,506,0,3002897,,,,EBU3B.RM-3154..ACTCLGSP,NAE 06 N2 2 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,Rm-3154,VAV,3154,,EBU3B,
505_0_3000910,505,0,3000910,effective_cooling_temperature_setpoint,,room,EBU3B.RM-B225..ACTCLGSP,NAE 05 N2 1 VMA 103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,occupied cooling setpoint,Analog Input,,RM-B225,VAV,B225,,EBU3B,
505_0_3001629,505,0,3001629,,,,EBU3B.RM-1100A..DMPR-POS,NAE 05 N2 2 VMA 103 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,RM-1100A,VAV,1100A,,EBU3B,
506_0_3001218,506,0,3001218,,,,EBU3B.RM-2119..DMPR-POS,NAE 06 N2 1 VMA103 DMPR POS,Damper Position,98,Damper Position,Damper Position,Analog Input,,Rm-2119,VAV,2119,,EBU3B,
