,source_building,target_building,source_sample_num,use_cluster_flag,char_precision,phrase_precision,phrase_recall,pessimistic_phrase_precision,pessimistic_phrase_recall
0,ap_m,ap_m,50,False,0.9463426696039203,0.9571970381072783,0.919420591551739,0.9011274934952298,0.8173058013765978
1,ebu3b,ebu3b,50,False,0.9220144008720846,0.9372810858143608,0.8923044860105247,0.8442599067599068,0.7370897990333248
2,ap_m,ap_m,50,True,0.9734972800431596,0.9746252483294202,0.9596336800924691,0.9453599306157849,0.9056917324470295
3,ebu3b,ebu3b,100,False,0.9628933704351818,0.9734566549912435,0.9495515695067265,0.9373543123543123,0.871933866377558
4,ebu3b,ebu3b,50,True,0.9457672337129579,0.9598839754816112,0.9170239464603158,0.8962703962703963,0.7949347460912263
5,ap_m,ap_m,100,False,0.9718338353639348,0.9747155499367889,0.9480063235552433,0.9449262792714658,0.8804040404040404
6,ap_m,ap_m,100,True,0.9938182799082858,0.9953946180242008,0.9907424051770627,0.9900260190806591,0.9779396016277575
7,ap_m,ap_m,200,False,0.9839949647079981,0.984197218710493,0.9681975659589589,0.9637901127493496,0.9254632521340829
8,ebu3b,ebu3b,200,False,0.9692618835881694,0.9816112084063048,0.9563316448946948,0.9526515151515151,0.8886925795053003
9,ebu3b,ebu3b,100,True,0.9788146533176512,0.9844570928196147,0.9699126496279521,0.9602272727272727,0.921947125472094
10,ap_m,ap_m,200,True,0.9997077732320281,0.9999096983926314,0.999458434876794,0.9997831743278404,0.9987004548408057
11,ebu3b,ebu3b,200,True,0.994262600763074,0.996880472854641,0.994594299443049,0.9918414918414918,0.9856667149268857
12,ebu3b,ap_m,50,False,0.7321404486804838,0.757991692252122,0.6429227941176471,0.6535125758889853,0.39265242313705057
13,ebu3b,ap_m,100,False,0.699905588274963,0.7025465053277948,0.6041310762540767,0.5806591500433651,0.34439300411522633
14,ap_m,ebu3b,50,False,0.6836828365701827,0.7202276707530648,0.6641768446552943,0.5059731934731935,0.3429446035351042
15,ebu3b,ap_m,50,True,0.6953198759160185,0.6694058154235145,0.6146766169154229,0.559410234171726,0.35699460356994606
16,ap_m,ebu3b,50,True,0.7173900570871224,0.7801554290718039,0.6839882923084305,0.5531759906759907,0.365693922758355
17,ap_m,ebu3b,100,False,0.7245761496313721,0.7996935201401051,0.6566305666651687,0.6081002331002331,0.35327972915785016
18,ebu3b,ap_m,200,False,0.7450658634177044,0.726657034495214,0.605219614921781,0.6925411968777103,0.3783015515811915
19,ap_m,ebu3b,200,False,0.736466909549901,0.792031523642732,0.6198389583690251,0.5724067599067599,0.30683326825458807
20,ebu3b,ap_m,100,True,0.7572045137796161,0.729456384323641,0.6617514540837225,0.7114050303555941,0.4427800269905533
21,ap_m,ebu3b,100,True,0.747081098138214,0.7845884413309983,0.6683761480721712,0.5799825174825175,0.358842617631152
22,ap_m,ebu3b,200,True,0.7540520382110789,0.8013353765323993,0.6545665876883187,0.6008158508158508,0.34798751160239644
23,ebu3b,ap_m,200,True,0.7613406464955267,0.7416471013184035,0.6424436795994993,0.7387250650477016,0.4270493858109802
